Lat,Lon,Z
47.68248972,11.99278932,784.3690186
47.6824791,11.99278556,784.3560181
47.68246848,11.99278181,784.3560181
47.68245785,11.99277806,784.269043
47.68244723,11.9927743,784.257019
47.68243661,11.99277055,784.2490234
47.68242598,11.9927668,784.3000488
47.68241536,11.99276304,784.2190552
47.68240473,11.99275929,784.2160645
47.68239411,11.99275554,784.2450562
47.68238349,11.99275178,784.3010254
47.68237286,11.99274803,784.2620239
47.68236224,11.99274428,784.2840576
47.68235162,11.99274052,784.2820435
47.68233875,11.99273628,784.3010254
47.68232588,11.99273204,784.2910156
47.68231302,11.9927278,784.2560425
47.68230015,11.99272356,784.2320557
47.68228729,11.99271932,784.2190552
47.68227442,11.99271508,784.2230225
47.68226156,11.99271084,784.184021
47.68224869,11.9927066,784.2000122
47.68223583,11.99270236,784.1850586
47.68222296,11.99269812,784.2110596
47.6822101,11.99269388,784.2060547
47.68219723,11.99268964,784.1870117
47.68218437,11.9926854,784.2740479
47.6821715,11.99268116,784.1900635
47.68215863,11.99267692,784.2320557
47.68214347,11.99267065,784.2870483
47.68213475,11.99266649,784.1920166
47.68212602,11.99266234,784.1960449
47.68211729,11.99265818,784.2140503
47.68210857,11.99265403,784.2480469
47.68209984,11.99264987,784.2340088
47.68209111,11.99264572,784.2270508
47.68208239,11.99264156,784.2790527
47.68207366,11.99263741,784.2300415
47.68206493,11.99263325,784.2240601
47.6820562,11.9926291,784.2270508
47.68204748,11.99262494,784.2270508
47.68203875,11.99262079,784.243042
47.68203002,11.99261663,784.243042
47.6820213,11.99261248,784.2440186
47.68201257,11.99260832,784.2680664
47.68200384,11.99260417,784.2550659
47.68199512,11.99260001,784.2630615
47.68198639,11.99259586,784.2620239
47.68197766,11.9925917,784.2610474
47.68196893,11.99258755,784.2940674
47.68196021,11.99258339,784.31604
47.68195148,11.99257924,784.3190308
47.68194275,11.99257508,784.3400269
47.68193403,11.99257093,784.3180542
47.6819253,11.99256677,784.2950439
47.68191657,11.99256262,784.2930298
47.68190785,11.99255846,784.302063
47.68189912,11.99255431,784.3290405
47.68189039,11.99255015,784.3270264
47.68188166,11.992546,784.342041
47.68187046,11.99254025,784.3460083
47.68185926,11.9925345,784.3520508
47.68184806,11.99252876,784.3460083
47.68183685,11.99252301,784.3540649
47.68182565,11.99251726,784.3470459
47.68181445,11.99251152,784.3540649
47.68180324,11.99250577,784.335022
47.68179204,11.99250002,784.3050537
47.68178084,11.99249428,784.2900391
47.68176964,11.99248853,784.2750244
47.68176118,11.99248291,784.2210083
47.68175173,11.99247551,784.1950073
47.68174228,11.9924681,784.19104
47.68173283,11.9924607,784.1690674
47.68172339,11.9924533,784.1330566
47.68171394,11.99244589,784.1070557
47.68170449,11.99243849,784.0910645
47.68169504,11.99243109,784.1100464
47.68168526,11.99242126,784.0740356
47.68167784,11.99241328,784.0530396
47.68167042,11.99240531,784.0510254
47.681663,11.99239733,783.9880371
47.68165558,11.99238935,783.967041
47.68164815,11.99238138,783.9810181
47.68164073,11.9923734,783.9810181
47.68163331,11.99236542,783.9330444
47.68162589,11.99235744,783.9060669
47.68161847,11.99234947,783.8870239
47.68161036,11.99234312,783.8510132
47.68160192,11.9923376,783.8360596
47.68159066,11.99232931,783.7960205
47.68157883,11.99232019,783.7450562
47.68156701,11.99231107,783.7260132
47.68155519,11.99230195,783.7060547
47.68154337,11.99229283,783.6950073
47.68153155,11.99228371,783.6570435
47.68151973,11.9922746,783.618042
47.68150791,11.99226548,783.6630249
47.68149609,11.99225636,783.5860596
47.68148427,11.99224724,783.5610352
47.6814755,11.99224062,783.56604
47.68146658,11.99223521,783.5280151
47.68145766,11.99222981,783.5410156
47.68144874,11.9922244,783.53302
47.68143941,11.99221959,783.5270386
47.68143008,11.99221477,783.5210571
47.68142074,11.99220996,783.460022
47.68141141,11.99220515,783.4490356
47.68140208,11.99220034,783.4730225
47.68139274,11.99219553,783.4840088
47.68138341,11.99219071,783.4710083
47.68137407,11.9921859,783.5130615
47.68136474,11.99218109,783.4870605
47.68135541,11.99217628,783.4440308
47.6813441,11.9921724,783.4910278
47.68133181,11.99216899,783.4770508
47.68131952,11.99216558,783.4280396
47.68130723,11.99216218,783.4120483
47.68129494,11.99215877,783.4160156
47.68128265,11.99215536,783.44104
47.68127035,11.99215195,783.4450073
47.68125806,11.99214854,781.7680664
47.68124577,11.99214513,781.401062
47.68123348,11.99214172,781.5810547
47.68122171,11.99213838,782.9470215
47.68121099,11.99213518,783.4140625
47.68120026,11.99213198,783.4210205
47.68118954,11.99212878,783.5110474
47.68117882,11.99212558,783.578064
47.68116809,11.99212238,783.6450195
47.68115737,11.99211918,783.651062
47.68114664,11.99211598,783.644043
47.68113592,11.99211278,783.6370239
47.68112519,11.99210958,783.632019
47.68111447,11.99210638,783.6490479
47.68110404,11.99210394,783.6470337
47.68109362,11.99210149,783.6390381
47.68108319,11.99209905,783.6550293
47.68107277,11.9920966,783.6610107
47.68106234,11.99209416,783.6790161
47.68105192,11.99209171,783.6350098
47.68104149,11.99208927,783.6300659
47.68103107,11.99208682,783.6350098
47.68102064,11.99208438,783.6060181
47.68101022,11.99208193,783.6190186
47.68099979,11.99207949,783.6400146
47.68098937,11.99207704,783.6520386
47.68097894,11.9920746,783.6470337
47.68096852,11.99207215,783.6420288
47.68095809,11.99206971,783.6490479
47.68094912,11.99206752,783.6480103
47.68093783,11.99206464,783.6760254
47.68092655,11.99206176,783.6690674
47.68091526,11.99205888,783.6730347
47.68090398,11.992056,783.6980591
47.68089269,11.99205312,783.6880493
